자격구분코드,자격구분명,계열코드,계열명,종목코드,종목명
S,국가전문자격,5,공인노무사,9500,공인노무사
S,국가전문자격,9,경비지도사,9501,일반경비지도사
S,국가전문자격,9,경비지도사,9502,기계경비지도사
S,국가전문자격,7,가맹거래사,9503,가맹거래사
S,국가전문자격,37,관광통역안내사,9624,관광통역안내사(불어)
S,국가전문자격,37,관광통역안내사,9625,관광통역안내사(독어)
S,국가전문자격,37,관광통역안내사,9626,관광통역안내사(스페인어)
S,국가전문자격,37,관광통역안내사,9627,관광통역안내사(러시아어)
S,국가전문자격,37,관광통역안내사,9628,관광통역안내사(일본어)
S,국가전문자격,37,관광통역안내사,9629,관광통역안내사(중국어)
S,국가전문자격,8,공인중개사,9630,공인중개사
S,국가전문자격,37,관광통역안내사,9631,관광통역안내사(이탈리아어)
S,국가전문자격,37,관광통역안내사,9632,관광통역안내사(태국어)
S,국가전문자격,37,관광통역안내사,9633,관광통역안내사(베트남어)
S,국가전문자격,37,관광통역안내사,9634,관광통역안내사(말레이/인도네시아어)
S,국가전문자격,37,관광통역안내사,9635,관광통역안내사(아랍어)
S,국가전문자격,24,관세사,9640,관세사
S,국가전문자격,22,세무사,9641,세무사
S,국가전문자격,28,방사성동위원소취급자특수면허,9653,방사성동위원소취급자특수면허
S,국가전문자격,29,방사성동위원소취급자일반면허,9654,방사성동위원소취급자일반면허
S,국가전문자격,30,방사선취급감독자면허,9655,방사선취급감독자면허
S,국가전문자격,33,소방안전교육사,9657,소방안전교육사
S,국가전문자격,34,소방시설관리사,9658,소방시설관리사
S,국가전문자격,35,박물관 및 미술관 준학예사,9659,박물관및미술관준학예사
S,국가전문자격,36,한국어교육능력검정시험,9660,한국어교육능력검정시험
S,국가전문자격,37,관광통역안내사,9661,관광통역안내사(영어)
S,국가전문자격,39,호텔경영사,9662,호텔경영사
S,국가전문자격,38,호텔관리사,9663,호텔관리사
S,국가전문자격,40,국내여행안내사,9664,국내여행안내사
S,국가전문자격,41,호텔서비스사,9665,호텔서비스사
S,국가전문자격,42,문화재수리기술자,9666,문화재수리기술자(보수)
S,국가전문자격,42,문화재수리기술자,9667,문화재수리기술자(단청)
S,국가전문자격,42,문화재수리기술자,9668,문화재수리기술자(실측설계)
S,국가전문자격,42,문화재수리기술자,9669,문화재수리기술자(조경)
S,국가전문자격,42,문화재수리기술자,9670,문화재수리기술자(보존과학)
S,국가전문자격,42,문화재수리기술자,9671,문화재수리기술자(식물보호)
S,국가전문자격,43,문화재수리기능자(24종목),9672,문화재수리기능자(대목수)
S,국가전문자격,43,문화재수리기능자(24종목),9673,문화재수리기능자(소목수)
S,국가전문자격,43,문화재수리기능자(24종목),9674,문화재수리기능자(가공석공)
S,국가전문자격,43,문화재수리기능자(24종목),9675,문화재수리기능자(쌓기석공)
S,국가전문자격,43,문화재수리기능자(24종목),9676,문화재수리기능자(화공)
S,국가전문자격,43,문화재수리기능자(24종목),9677,문화재수리기능자(드잡이공)
S,국가전문자격,43,문화재수리기능자(24종목),9678,문화재수리기능자(번와와공)
S,국가전문자격,43,문화재수리기능자(24종목),9679,문화재수리기능자(제작와공)
S,국가전문자격,43,문화재수리기능자(24종목),9680,문화재수리기능자(한식미장공)
